node_a,node_b,bidirectional_n
241855,2672,2
266349,2672,1
2672,277274,3
2672,299728,1
2672,331408,1
2672,342516,2
2672,345382,2
2672,366288,1
2672,374824,1
2672,375714,1
2672,395782,12
2672,412610,3
2672,432283,2
2672,44403,2
2672,444297,3
2672,455154,3
2672,479433,1
2672,504575,1
2672,509358,1
2672,525323,1
2672,545873,2
2672,563629,2
2672,564947,1
2672,574210,5
2672,640904,1
2672,667855,1
2672,677589,3
2672,697057,1
2672,698132,1
2672,704362,3
2672,733929,1
2672,737575,1
2672,788040,1
2672,790661,1
2672,798854,1
2672,839736,2
2672,901297,3
2672,934074,3
2672,963448,1
2672,966656,17
2672,970160,4
2672,external2672,3
164193,4343,15
4343,839736,2
4343,external4343,1
1024085,4828,1
1027078,4828,1
1042152,4828,3
1079396,4828,5
1116329,4828,1
1117298,4828,3
1143639,4828,14
1157004,4828,2
1173915,4828,7
1174742,4828,2
1184365,4828,2
1208350,4828,4
124408,4828,2
1255142,4828,2
1284163,4828,5
1300247,4828,1
1312277,4828,3
1317012,4828,2
1319731,4828,3
1345871,4828,2
135051,4828,2
1360498,4828,1
1360715,4828,1
1366676,4828,1
1381070,4828,6
1410699,4828,1
1415170,4828,3
1426301,4828,1
1428997,4828,1
1429549,4828,2
1446246,4828,3
1448056,4828,3
1455873,4828,2
1495587,4828,3
1509340,4828,1
1514680,4828,3
1528090,4828,2
1528665,4828,28
1532160,4828,2
1537249,4828,2
1547860,4828,1
1554678,4828,1
1561938,4828,2
1570102,4828,2
1584066,4828,3
1594431,4828,1
1595318,4828,1
1596977,4828,2
1611783,4828,2
1612579,4828,1
161994,4828,1
1636010,4828,2
1658699,4828,1
1682503,4828,2
1710420,4828,1
1721166,4828,12
1731552,4828,5
1732683,4828,5
1764153,4828,2
1765818,4828,2
1781105,4828,1
1786015,4828,3
1788413,4828,3
1817739,4828,1
1822625,4828,8
1841960,4828,5
1875369,4828,3
1892706,4828,2
1908858,4828,1
1941455,4828,2
1944302,4828,8
1960107,4828,12
2001739,4828,3
2010383,4828,2
2042333,4828,3
205691,4828,43
2095583,4828,2
21665,4828,2
223773,4828,2
225622,4828,2
250943,4828,1
257896,4828,2
266349,4828,2
266580,4828,1
275317,4828,1
277274,4828,3
286210,4828,4
287675,4828,1
292049,4828,2
376187,4828,1
383458,4828,2
384298,4828,3
38622,4828,5
398292,4828,3
409939,4828,3
423456,4828,2
444297,4828,12
462663,4828,1
4828,49375,1
4828,509358,6
4828,516262,1
4828,539907,2
4828,545873,3
4828,560114,6
4828,575483,2
4828,577528,4
4828,596587,1
4828,619203,2
4828,620990,10
4828,644063,1
4828,666534,1
4828,677582,2
4828,677589,11
4828,683323,2
4828,697057,1
4828,700779,2
4828,703792,1
4828,706731,2
4828,715390,2
4828,72120,2
4828,734861,3
4828,735424,2
4828,73832,4
4828,74613,1
4828,748592,3
4828,772368,2
4828,774775,3
4828,810123,2
4828,818140,1
4828,837587,1
4828,839736,4
4828,83986,1
4828,841314,3
4828,841387,2
4828,848800,1
4828,856067,2
4828,884977,1
4828,90317,3
4828,904030,1
4828,92759,7
4828,931476,2
4828,942846,1
4828,95161,1
4828,963448,2
4828,965076,2
4828,970160,1
4828,983590,1
4828,985277,2
4828,external4828,5
1155879,4908,13
1234605,4908,11
1242167,4908,11
1314558,4908,11
1342832,4908,11
134366,4908,13
1371106,4908,15
149913,4908,13
1522908,4908,12
1595784,4908,36
1695328,4908,10
1747170,4908,10
1813824,4908,26
1840656,4908,12
1846280,4908,9
1932928,4908,27
1940081,4908,19
1942625,4908,12
2013273,4908,13
2015129,4908,12
2068147,4908,11
2089499,4908,11
225622,4908,12
250943,4908,12
265272,4908,12
325528,4908,11
374824,4908,12
375714,4908,13
422666,4908,14
428815,4908,12
48628,4908,11
4908,506611,11
4908,574210,13
4908,597706,13
4908,652484,34
4908,678642,28
4908,723987,11
4908,766395,11
4908,795501,11
4908,839736,6
4908,875692,36
4908,918616,11
4908,973665,14
4908,997011,11
4908,external4908,4
1076477,6110,4
1114109,6110,4
1124046,6110,11
1198534,6110,18
1203064,6110,10
1208350,6110,3
1278894,6110,110
1345871,6110,3
1424087,6110,3
1534016,6110,2
1547860,6110,3
1549439,6110,2
1564534,6110,7
1571183,6110,4
1592997,6110,13
1596719,6110,15
1622104,6110,2
1772919,6110,7
179988,6110,3
1814880,6110,4
1892706,6110,4
1902375,6110,3
1934504,6110,6
1971852,6110,17
2018684,6110,2
2041384,6110,2
230498,6110,19
257896,6110,2
277274,6110,2
312564,6110,4
374355,6110,2
379254,6110,2
38622,6110,3
462663,6110,5
464830,6110,6
523606,6110,6
539865,6110,13
591820,6110,2
6110,6534,5
6110,715390,5
6110,737575,3
6110,748592,5
6110,755822,17
6110,756638,4
6110,757845,9
6110,797317,4
6110,798869,2
6110,821251,4
6110,832662,3
6110,839736,4
6110,83986,2
6110,871111,3
6110,874887,4
6110,889064,18
6110,95161,4
6110,986349,3
6110,external6110,3
1008448,6534,3
1061215,6534,3
1076477,6534,42
1114109,6534,34
1124046,6534,5
1184365,6534,4
1198534,6534,11
1203064,6534,37
1208350,6534,50
1231028,6534,2
1278894,6534,110
1297877,6534,4
1345871,6534,36
1346096,6534,3
1388162,6534,3
1388440,6534,3
140029,6534,2
1424087,6534,28
1428997,6534,7
143415,6534,2
1444056,6534,2
1534016,6534,37
1547860,6534,43
1549439,6534,40
1564534,6534,3
1571183,6534,37
1592997,6534,8
1596719,6534,5
1622104,6534,30
1643468,6534,2
1691480,6534,3
1772919,6534,35
1773176,6534,2
1797310,6534,2
179988,6534,39
1803705,6534,2
1814880,6534,36
1822171,6534,9
184333,6534,3
1873033,6534,3
1875369,6534,3
1892706,6534,37
1902375,6534,30
1934504,6534,43
1971852,6534,11
2018684,6534,35
2041384,6534,31
230498,6534,4
232490,6534,2
257896,6534,40
277274,6534,43
303603,6534,4
312564,6534,39
357179,6534,10
374355,6534,34
379254,6534,46
38622,6534,36
445806,6534,2
462663,6534,39
464830,6534,37
470906,6534,4
518531,6534,4
523606,6534,33
539865,6534,6
546233,6534,2
591820,6534,41
602428,6534,3
6534,6936,3
6534,715390,41
6534,735424,4
6534,737575,34
6534,748592,41
6534,755822,7
6534,756638,42
6534,757845,54
6534,78603,3
6534,797317,41
6534,798869,34
6534,809736,2
6534,821251,44
6534,832662,29
6534,839736,2
6534,83986,26
6534,856573,3
6534,871111,40
6534,874887,36
6534,880807,2
6534,889064,9
6534,901297,4
6534,923924,5
6534,941,4
6534,941146,5
6534,95161,40
6534,953336,3
6534,970547,4
6534,986349,40
6534,external6534,3
1008448,6936,33
1020418,6936,2
1027078,6936,2
104177,6936,26
1048798,6936,3
105229,6936,3
1070212,6936,43
1084500,6936,2
1108000,6936,3
1108132,6936,2
1109689,6936,2
1116385,6936,3
1158920,6936,38
1171069,6936,1
1173915,6936,3
1177549,6936,7
1191435,6936,34
1202675,6936,27
1237943,6936,1
1241160,6936,1
1241516,6936,3
124408,6936,1
1246530,6936,5
1248270,6936,3
1261486,6936,3
1265839,6936,1
1274841,6936,2
1278894,6936,101
1280922,6936,3
1305659,6936,38
1317012,6936,37
1321359,6936,5
1322523,6936,2
133205,6936,9
1336623,6936,2
1342832,6936,5
1345871,6936,1
1346967,6936,5
1349992,6936,41
1359382,6936,1
1360498,6936,29
1366676,6936,2
1367089,6936,5
1368389,6936,2
1379128,6936,31
1394918,6936,4
1396757,6936,2
1399755,6936,2
140029,6936,8
1429549,6936,9
1430803,6936,7
1446246,6936,2
1461327,6936,1
1468447,6936,3
1469128,6936,3
14835,6936,38
1492009,6936,1
1513840,6936,1
1522107,6936,1
152338,6936,1
1525028,6936,4
1527441,6936,8
1537249,6936,40
1566170,6936,2
1576297,6936,26
1603900,6936,15
1616474,6936,3
1623490,6936,2
1679345,6936,2
173339,6936,8
1735326,6936,2
1742829,6936,1
1750125,6936,2
1753118,6936,39
1764153,6936,2
1804735,6936,3
180883,6936,35
1812811,6936,1
1813981,6936,37
1822171,6936,5
1840656,6936,3
1865282,6936,2
1871817,6936,2
1875935,6936,2
1906865,6936,2
1942120,6936,5
1944495,6936,1
1952341,6936,2
1971223,6936,1
1991646,6936,4
1993180,6936,3
1997596,6936,1
1998752,6936,44
2001739,6936,1
2006561,6936,29
2037299,6936,43
2040759,6936,29
2042862,6936,2
2068147,6936,4
2081231,6936,3
2091832,6936,3
224128,6936,30
239133,6936,34
250943,6936,6
258967,6936,2
277274,6936,1
288909,6936,2
291785,6936,10
299728,6936,2
302771,6936,4
304161,6936,27
314102,6936,1
324556,6936,4
357179,6936,1
366288,6936,5
374824,6936,3
382365,6936,2
384298,6936,1
385687,6936,4
392869,6936,4
398292,6936,43
423456,6936,32
431836,6936,5
435344,6936,48
442534,6936,30
462663,6936,2
470762,6936,38
477978,6936,29
479433,6936,2
480776,6936,1
485743,6936,29
48628,6936,1
499367,6936,8
500215,6936,2
50359,6936,33
504575,6936,1
506678,6936,35
509441,6936,34
510274,6936,49
511389,6936,7
525932,6936,29
530908,6936,9
544881,6936,2
566662,6936,1
567841,6936,1
574013,6936,2
579220,6936,3
580461,6936,1
597706,6936,2
620186,6936,2
629470,6936,2
667855,6936,42
673451,6936,4
677582,6936,6
677589,6936,2
685539,6936,3
6936,706731,35
6936,713254,33
6936,72120,1
6936,724670,37
6936,729698,3
6936,736972,1
6936,737782,2
6936,739949,38
6936,742371,2
6936,743963,41
6936,753509,2
6936,781274,6
6936,78603,2
6936,797317,5
6936,798854,1
6936,809736,5
6936,813540,2
6936,818140,3
6936,83376,2
6936,839736,2
6936,865155,33
6936,872825,1
6936,918404,3
6936,925233,32
6936,927280,1
6936,931049,3
6936,931698,2
6936,933372,2
6936,941906,4
6936,959427,39
6936,963448,1
6936,970012,4
6936,external6936,1
1014820,7339,12
1020418,7339,3
1047819,7339,2
1049061,7339,3
107173,7339,1
1170077,7339,2
1194287,7339,1
1225393,7339,3
1261486,7339,2
1297867,7339,3
1388022,7339,1
1429989,7339,2
14835,7339,1
1494148,7339,3
1508923,7339,4
1570102,7339,1
1594431,7339,2
1596977,7339,2
1607547,7339,2
1682503,7339,2
1696753,7339,2
1713904,7339,2
1732392,7339,1
1764153,7339,1
1791156,7339,3
1804735,7339,1
1871817,7339,2
1897980,7339,1
1920255,7339,4
1946142,7339,1
1987765,7339,3
2049819,7339,29
2081562,7339,1
20967,7339,3
258503,7339,2
277274,7339,2
304161,7339,2
306905,7339,41
31954,7339,3
342516,7339,1
345382,7339,2
405279,7339,3
432283,7339,2
452530,7339,1
492974,7339,3
500215,7339,2
50359,7339,4
545873,7339,2
58017,7339,3
585760,7339,2
651614,7339,1
673451,7339,1
7339,772368,1
7339,805298,4
7339,810735,3
7339,839736,4
7339,884977,1
7339,941906,2
7339,985277,19
7339,external7339,2
101816,8129,37
1049061,8129,3
1082547,8129,2
1083305,8129,2
1101472,8129,30
1130496,8129,38
1138286,8129,3
1143856,8129,2
1148414,8129,31
1152246,8129,1
1173076,8129,1
1176667,8129,4
1176992,8129,3
1177549,8129,1
1195226,8129,11
1223310,8129,2
1229660,8129,31
1230148,8129,2
1242167,8129,1
1254510,8129,3
127037,8129,3
1283332,8129,31
1297867,8129,7
13052,8129,7
1319731,8129,2
1323723,8129,1
1326471,8129,37
133205,8129,36
1334236,8129,39
1346967,8129,1
1368389,8129,25
1388440,8129,40
1394838,8129,36
1413637,8129,4
1461327,8129,6
1463759,8129,1
1476568,8129,1
1492009,8129,34
1513840,8129,27
1522107,8129,2
1525975,8129,5
1529852,8129,38
1537207,8129,2
1569963,8129,5
1611783,8129,1
161627,8129,4
1632214,8129,34
1636010,8129,4
1640943,8129,35
165328,8129,4
1678204,8129,4
1678785,8129,29
168587,8129,35
1710420,8129,2
1728432,8129,34
1740829,8129,33
1755533,8129,5
1756058,8129,30
1791838,8129,4
1836866,8129,7
1846280,8129,3
184869,8129,4
1861684,8129,30
1865282,8129,34
1912164,8129,1
193629,8129,33
1941455,8129,1
1975667,8129,3
1980139,8129,3
1987765,8129,2
1997596,8129,3
2000800,8129,4
2001739,8129,1
2007219,8129,2
2026615,8129,5
2045913,8129,3
2057936,8129,8
2091426,8129,1
258314,8129,5
266349,8129,1
289181,8129,2
298495,8129,37
313742,8129,44
346310,8129,3
36450,8129,8
366288,8129,2
378101,8129,41
38398,8129,1
415477,8129,1
444898,8129,1
510274,8129,2
510394,8129,6
525323,8129,34
536972,8129,3
539907,8129,4
564947,8129,3
574210,8129,1
580785,8129,1
600044,8129,5
617164,8129,2
62001,8129,4
626177,8129,6
64694,8129,32
657215,8129,3
689330,8129,7
704362,8129,38
711179,8129,1
724433,8129,2
727998,8129,32
731228,8129,2
733929,8129,5
739949,8129,2
742301,8129,36
750980,8129,2
753790,8129,28
772368,8129,32
778784,8129,5
78603,8129,1
788040,8129,11
800081,8129,1
8129,839736,6
8129,856573,31
8129,861939,7
8129,872825,1
8129,923924,2
8129,92759,6
8129,931476,3
8129,932874,1
8129,953336,31
8129,970490,1
8129,970547,40
8129,external8129,6
1007694,8672,18
1117699,8672,24
1199860,8672,18
127426,8672,14
1819553,8672,10
1870869,8672,20
380279,8672,26
667963,8672,22
714084,8672,22
839736,8672,8
8672,external8672,2
10019,1049061,4
10019,1079396,3
10019,1143639,2
10019,1152246,2
10019,1161488,21
10019,1194287,2
10019,1237943,2
10019,1269351,2
10019,1297882,30
10019,1312277,1
10019,1317709,3
10019,1325295,1
10019,1366970,4
10019,1373006,21
10019,1425352,1
10019,1452405,1
10019,1492679,16
10019,1524498,1
10019,156781,2
10019,1594431,2
10019,1636826,17
10019,1651940,1
10019,169797,1
10019,1706538,2
10019,1763807,19
10019,1770468,2
10019,1786015,3
10019,1796195,3
10019,1815816,1
10019,1830983,2
10019,1831128,24
10019,1936854,1
10019,1941455,2
10019,1946142,2
10019,1984246,13
10019,2047880,5
10019,2074966,25
10019,20967,1
10019,210814,2
10019,211950,3
10019,263393,18
10019,266349,3
10019,295863,3
10019,342516,3
10019,398487,3
10019,531338,2
10019,536972,1
10019,557026,1
10019,567841,1
10019,580486,1
10019,592391,22
10019,609256,1
10019,62641,1
10019,72385,21
10019,753509,4
10019,800081,2
10019,813540,2
10019,841387,1
10019,843401,2
10019,888093,1
10019,92759,1
10019,931698,1
10019,952821,1
10019,991160,3
10019,external10019,4
10089,1024085,8
10089,1119337,7
10089,1129455,6
10089,121745,8
10089,1225393,8
10089,1255142,6
10089,1263311,8
10089,1276986,8
10089,1297648,7
10089,1337278,9
10089,1400547,7
10089,1423904,8
10089,1455959,15
10089,148882,7
10089,1504044,6
10089,1547150,6
10089,1557777,8
10089,1570944,9
10089,1607944,7
10089,1618056,9
10089,164603,6
10089,166806,17
10089,1713904,8
10089,1846010,7
10089,19843,6
10089,1993568,25
10089,2017474,7
10089,2080368,10
10089,241855,7
10089,321318,7
10089,33434,6
10089,38398,8
10089,444532,6
10089,467299,9
10089,476970,7
10089,549003,7
10089,587206,21
10089,721255,7
10089,730430,12
10089,739695,16
10089,760596,8
10089,769381,6
10089,774798,9
10089,776705,7
10089,81689,8
10089,820425,21
10089,823913,7
10089,824453,7
10089,839736,4
10089,864019,6
10089,873971,8
10089,884977,7
10089,938463,10
10089,998420,6
10089,external10089,3
10371,1278894,98
10371,1591840,14
10371,839736,6
10371,external10371,3
11269,408012,19
11269,external11269,5
11311,839736,12
11311,external11311,4
1006895,11810,13
1014505,11810,18
1061455,11810,19
1080655,11810,17
1141064,11810,16
1154043,11810,21
1170377,11810,17
11810,1342819,23
11810,1357174,11
11810,1567047,22
11810,1631284,14
11810,1646758,21
11810,1673153,23
11810,1712731,18
11810,1754702,18
11810,1758610,18
11810,1862586,16
11810,1914739,14
11810,2018848,16
11810,2069587,15
11810,25802,20
11810,297336,19
11810,521065,15
11810,524677,17
11810,613142,22
11810,667078,18
11810,707627,15
11810,822246,16
11810,830648,15
11810,839736,4
11810,990529,16
11810,external11810,2
1002597,13052,1
1008448,13052,2
1012664,13052,1
1020418,13052,2
1027078,13052,1
1050928,13052,1
1051158,13052,1
107173,13052,1
1082547,13052,1
1086703,13052,4
1101472,13052,3
1129455,13052,2
1147212,13052,6
1173915,13052,3
1176992,13052,6
1177549,13052,4
1208151,13052,2
1223310,13052,2
1230148,13052,2
1254510,13052,3
1297787,13052,2
1297867,13052,3
13052,1305659,2
13052,1319731,5
13052,1324567,1
13052,1325295,2
13052,1334236,5
13052,1337278,2
13052,1368389,3
13052,1393253,1
13052,1394918,3
13052,1412224,2
13052,143415,1
13052,1446356,6
13052,1452427,2
13052,1461327,1
13052,1480703,4
13052,1485916,5
13052,1489409,3
13052,1491664,5
13052,1499959,1
13052,1513840,2
13052,1525103,2
13052,1525975,3
13052,1534016,3
13052,1569963,2
13052,1574967,2
13052,1597320,2
13052,1607547,1
13052,1607917,2
13052,161627,2
13052,1636010,2
13052,1681027,2
13052,1692925,1
13052,1735326,4
13052,173593,2
13052,1749548,4
13052,1750125,2
13052,1759695,2
13052,1765818,2
13052,178304,3
13052,1791156,1
13052,1812811,2
13052,1815816,2
13052,1830983,9
13052,1835505,2
13052,1836866,10
13052,184333,2
13052,1846010,1
13052,184869,12
13052,1858381,5
13052,1861552,3
13052,1871332,1
13052,1952341,1
13052,1960107,1
13052,1987765,1
13052,1998752,2
13052,2010383,2
13052,2026615,2
13052,2035914,1
13052,2042540,4
13052,2052043,1
13052,2079003,3
13052,2083613,4
13052,21665,2
13052,239338,6
13052,256620,2
13052,258314,23
13052,266280,1
13052,303603,1
13052,313742,3
13052,338530,5
13052,36450,3
13052,366288,1
13052,379254,1
13052,382365,2
13052,398487,1
13052,414676,2
13052,445806,2
13052,467299,3
13052,470762,2
13052,510394,4
13052,536972,4
13052,539907,3
13052,546233,2
13052,551928,2
13052,561890,2
13052,564947,2
13052,579220,1
13052,644063,2
13052,698208,3
13052,704362,3
13052,711179,2
13052,715390,5
13052,724433,3
13052,729698,2
13052,733929,2
13052,742301,5
13052,744700,3
13052,760596,2
13052,774798,1
13052,775388,2
13052,788040,9
13052,794748,1
13052,83986,2
13052,841314,1
13052,849738,3
13052,861939,3
13052,873971,4
13052,888093,1
13052,901297,3
13052,910527,1
13052,92759,3
13052,931476,2
13052,963448,1
13052,external13052,2
13354,1469128,15
13354,2017643,9
13354,419467,10
13354,532424,10
13354,839736,8
13354,external13354,4
1008448,14835,28
104177,14835,23
1070212,14835,36
1089957,14835,2
1158920,14835,33
1171069,14835,1
1191435,14835,29
1197899,14835,4
1202675,14835,26
1208008,14835,3
1208350,14835,3
1241516,14835,2
1246530,14835,4
1265839,14835,1
1283332,14835,16
1297867,14835,3
1305659,14835,22
1317012,14835,34
1322523,14835,6
1349992,14835,38
1350922,14835,2
1360498,14835,26
1366676,14835,1
1367089,14835,4
1379128,14835,24
14835,1494148,3
14835,1525028,5
14835,1537249,32
14835,1561938,1
14835,1574967,7
14835,1576297,27
14835,165328,5
14835,1658699,8
14835,1682503,2
14835,1728164,4
14835,1731552,7
14835,173339,7
14835,1735326,5
14835,1753118,31
14835,1755533,2
14835,1797310,1
14835,180883,32
14835,1813981,31
14835,1822171,2
14835,1942120,6
14835,1998752,32
14835,2000800,4
14835,2001739,1
14835,2006561,26
14835,2007219,3
14835,2037299,40
14835,2040759,26
14835,2081231,1
14835,220550,4
14835,224128,27
14835,239133,29
14835,255983,10
14835,268856,3
14835,273492,3
14835,304161,25
14835,333252,1
14835,374824,1
14835,385687,3
14835,38622,2
14835,398292,38
14835,423456,28
14835,431836,4
14835,435344,45
14835,440632,3
14835,442534,28
14835,467299,1
14835,470762,34
14835,477978,21
14835,485743,24
14835,48730,1
14835,492974,2
14835,50359,32
14835,506678,34
14835,509441,28
14835,510274,42
14835,511389,7
14835,525932,24
14835,535691,21
14835,543168,3
14835,544881,2
14835,600044,1
14835,620186,2
14835,643918,3
14835,651835,8
14835,659085,3
14835,667855,41
14835,706731,33
14835,713254,31
14835,724670,27
14835,739949,32
14835,743963,35
14835,750980,8
14835,824998,6
14835,839736,2
14835,848800,2
14835,865155,26
14835,925233,32
14835,959427,34
14835,965076,1
14835,97456,2
14835,983590,2
14835,external14835,4
105732,15466,5
1090219,15466,3
1108132,15466,1
1111313,15466,31
1116329,15466,31
1134424,15466,32
1143856,15466,32
116009,15466,2
1181215,15466,28
1197899,15466,2
1208151,15466,3
1223310,15466,25
1234605,15466,1
1241160,15466,30
1248261,15466,2
1250700,15466,33
1252119,15466,5
1267918,15466,11
1280922,15466,26
1284357,15466,1
128533,15466,33
1292929,15466,2
131876,15466,34
1321359,15466,31
1323723,15466,1
1327711,15466,33
1349992,15466,6
1353005,15466,4
1357973,15466,31
1388022,15466,1
1391505,15466,2
1393253,15466,28
1397469,15466,2
1399755,15466,2
1428997,15466,1
1430803,15466,26
1480813,15466,26
149057,15466,2
1496683,15466,3
1508923,15466,41
1521668,15466,1
152338,15466,32
1527441,15466,28
1537207,15466,30
1537249,15466,9
15466,1549219,2
15466,1570102,32
15466,1612579,1
15466,161395,2
15466,162509,3
15466,1660198,45
15466,1668273,2
15466,1678785,2
15466,1749109,1
15466,1763715,27
15466,1772919,2
15466,1775516,3
15466,1781105,15
15466,1786133,1
15466,1791156,3
15466,179142,39
15466,1796737,24
15466,1812811,33
15466,1814880,4
15466,1822171,2
15466,1830983,1
15466,1859190,40
15466,1873375,4
15466,1899005,2
15466,1901765,6
15466,1920255,4
15466,193629,1
15466,19843,4
15466,1987765,3
15466,1993180,24
15466,1994470,28
15466,1997632,33
15466,2028099,5
15466,2051549,31
15466,2085655,5
15466,2091426,36
15466,265730,3
15466,297404,36
15466,302897,7
15466,314102,2
15466,33434,2
15466,345618,35
15466,349317,28
15466,352736,4
15466,374355,7
15466,376187,2
15466,380915,1
15466,382365,35
15466,38492,33
15466,392869,32
15466,414676,5
15466,420345,2
15466,427493,27
15466,440632,35
15466,442534,5
15466,44403,1
15466,455154,1
15466,473066,2
15466,484248,35
15466,485743,3
15466,48730,27
15466,49375,32
15466,500451,2
15466,525932,2
15466,545873,1
15466,561890,2
15466,575483,38
15466,580785,26
15466,581794,39
15466,637018,3
15466,664389,1
15466,703402,1
15466,715390,1
15466,728622,1
15466,733140,33
15466,733475,7
15466,74613,32
15466,760596,2
15466,774775,1
15466,774798,4
15466,800081,4
15466,805298,33
15466,809736,31
15466,81689,2
15466,821075,1
15466,837587,3
15466,838917,34
15466,839736,4
15466,855567,4
15466,85750,3
15466,861939,2
15466,872243,2
15466,872825,2
15466,884977,1
15466,918616,2
15466,923529,2
15466,992263,27
15466,external15466,1
1201599,15712,16
15712,839736,2
15712,external15712,2
15715,1849623,26
15715,839736,4
15715,external15715,7
1047819,17612,2
1070212,17612,2
1088488,17612,1
1180958,17612,7
1197899,17612,1
1224245,17612,1
1242167,17612,5
1248270,17612,2
1255453,17612,5
1292929,17612,1
1297867,17612,3
1319731,17612,2
1325295,17612,1
1371106,17612,2
1375289,17612,2
1496683,17612,4
1508923,17612,2
1522107,17612,3
1525103,17612,1
153470,17612,5
1563653,17612,1
1596977,17612,2
1611783,17612,4
1616474,17612,5
1627198,17612,3
1639202,17612,4
1696753,17612,2
1710420,17612,1
1724998,17612,3
17612,1763715,3
17612,179142,2
17612,184333,4
17612,185523,3
17612,1897980,1
17612,1912164,1
17612,1998752,1
17612,2081231,3
17612,211950,1
17612,258503,2
17612,263011,8
17612,302771,2
17612,338530,11
17612,378101,5
17612,38492,3
17612,398487,1
17612,44403,1
17612,445806,1
17612,446167,1
17612,470906,1
17612,479433,7
17612,531338,3
17612,574210,1
17612,598158,1
17612,640904,4
17612,642982,3
17612,72120,3
17612,73832,2
17612,754085,2
17612,798854,2
17612,801862,8
17612,805298,4
17612,839736,4
17612,910939,1
17612,94067,1
17612,942846,1
17612,958886,1
17612,966656,9
17612,983693,1
17612,997940,3
17612,external17612,6
100174,17914,20
1771245,17914,13
1789535,17914,13
17914,1823549,13
17914,207136,12
17914,231065,17
17914,522711,20
17914,839736,8
17914,external17914,1
1130496,18121,5
1152246,18121,13
1157004,18121,2
1242167,18121,3
1252119,18121,3
1283332,18121,5
1327711,18121,2
1349217,18121,4
1363807,18121,14
1381070,18121,2
1385557,18121,3
1428997,18121,6
1437636,18121,1
1464748,18121,1
149057,18121,3
1495587,18121,2
1509340,18121,3
1522908,18121,3
152338,18121,1
1528665,18121,12
1537249,18121,4
1563928,18121,2
1576297,18121,3
1588412,18121,5
1588767,18121,7
1594431,18121,10
1603900,18121,7
1611783,18121,2
1626629,18121,3
1633558,18121,3
1638566,18121,2
1681027,18121,2
1682503,18121,2
1696241,18121,2
1791156,18121,2
1803146,18121,3
1809285,18121,5
18121,1835505,4
18121,1846280,4
18121,1862567,4
18121,1897980,2
18121,1920255,3
18121,1941455,2
18121,1946142,2
18121,1947928,6
18121,1960107,24
18121,199078,3
18121,2031799,14
18121,2081231,5
18121,2095583,32
18121,224128,3
18121,265730,3
18121,338530,3
18121,352736,3
18121,384298,2
18121,398292,4
18121,439105,1
18121,455154,4
18121,455752,2
18121,464830,6
18121,511781,2
18121,546233,3
18121,580064,2
18121,580461,2
18121,617164,1
18121,698208,3
18121,703792,3
18121,706731,5
18121,710414,5
18121,714380,2
18121,729698,5
18121,731228,3
18121,73216,4
18121,748592,4
18121,755524,3
18121,766395,3
18121,797317,4
18121,864973,6
18121,901297,4
18121,918616,3
18121,925233,3
18121,92759,3
18121,932874,2
18121,933372,2
18121,947258,23
18121,968967,1
18121,983590,3
18121,99609,3
18121,external18121,3
